tiempo;error;integral;derivada
8070;0;1098;0
8076;0;2196;0
8082;0;3294;0
8088;0;4392;0
8094;0;5490;0
8100;0;6588;0
8106;0;7686;0
8112;0;8784;0
8118;0;9882;0
8124;0;10000;0
8130;0;10000;0
8136;0;10000;0
8142;0;10000;0
8148;0;10000;0
8154;0;10000;0
8160;0;10000;0
8166;0;10000;0
8172;0;10000;0
8178;0;10000;0
8184;0;10000;0
8190;0;10000;0
8196;0;10000;0
8202;0;10000;0
8208;0;10000;0
8214;0;10000;0
8220;0;10000;0
8226;0;10000;0
8232;0;10000;0
8238;0;10000;0
8244;0;10000;0
8250;0;10000;0
8256;0;10000;0
8262;0;10000;0
8268;0;10000;0
8274;0;10000;0
8280;0;10000;0
8286;0;10000;0
8295;0;10000;0
8301;0;10000;0
8307;0;10000;0
8313;0;10000;0
8319;0;10000;0
8325;0;10000;0
8331;0;10000;0
8337;0;10000;0
8343;0;10000;0
8352;0;10000;0
8358;0;10000;0
8364;0;10000;0
8370;0;10000;0
8376;0;10000;0
8382;0;10000;0
8388;0;10000;0
8394;0;10000;0
8400;0;10000;0
8409;0;10000;0
8418;0;10000;0
8424;0;10000;0
8430;0;10000;0
8436;0;10000;0
8442;0;10000;0
8451;0;10000;0
8457;0;10000;0
8463;0;10000;0
8469;0;10000;0
8475;0;10000;0
8481;0;10000;0
8487;0;10000;0
8493;0;10000;0
8499;0;10000;0
8505;0;10000;0
8511;0;10000;0
8517;0;10000;0
8523;0;10000;0
8532;0;10000;0
8538;0;10000;0
8544;0;10000;0
8550;0;10000;0
8556;0;10000;0
8562;0;10000;0
8568;0;10000;0
8574;0;10000;0
8580;0;10000;0
8586;0;10000;0
8592;0;10000;0
8598;0;10000;0
8604;0;10000;0
8610;0;10000;0
8616;0;10000;0
8622;0;10000;0
8628;0;10000;0
8634;0;10000;0
8640;0;10000;0
8646;0;10000;0
8652;0;10000;0
8658;0;10000;0
8664;0;10000;0
8670;0;10000;0
8676;0;10000;0
8682;0;10000;0
8688;0;10000;0
8694;0;10000;0
8700;0;10000;0
8706;0;10000;0
8712;0;10000;0
8718;0;10000;0
8724;0;10000;0
8730;0;10000;0
8736;0;10000;0
8745;0;10000;0
8754;0;10000;0
8760;0;10000;0
8766;0;10000;0
8772;0;10000;0
8778;0;10000;0
8784;0;10000;0
8790;0;10000;0
8799;0;10000;0
8805;0;10000;0
8811;0;10000;0
8817;0;10000;0
8823;0;10000;0
8829;0;10000;0
8835;0;10000;0
8841;0;10000;0
8847;0;10000;0
8853;0;10000;0
8859;0;10000;0
8865;0;10000;0
8871;0;10000;0
8877;0;10000;0
8883;0;10000;0
8889;0;10000;0
8895;0;10000;0
8901;0;10000;0
8907;0;10000;0
8913;0;10000;0
8919;0;10000;0
8925;0;10000;0
8931;0;10000;0
8937;0;10000;0
8946;0;10000;0
8952;0;10000;0
8958;0;10000;0
8964;0;10000;0
8970;0;10000;0
8976;0;10000;0
8982;0;10000;0
8988;0;10000;0
8994;0;10000;0
9000;0;10000;0
9006;0;10000;0
9012;0;10000;0
9018;0;10000;0
9024;0;10000;0
9030;0;10000;0
9036;0;10000;0
9039;0;10000;0
9045;0;10000;0
9051;0;10000;0
9057;0;10000;0
9063;0;10000;0
9069;0;10000;0
9075;0;10000;0
9081;0;10000;0
9087;0;10000;0
9093;0;10000;0
9096;0;10000;0
9102;0;10000;0
9108;0;10000;0
9114;0;10000;0
9120;0;10000;0
9126;0;10000;0
9132;0;10000;0
9138;0;10000;0
9144;0;10000;0
9150;0;10000;0
9156;0;10000;0
9162;0;10000;0
9168;0;10000;0
9174;0;10000;0
9180;0;10000;0
9186;0;10000;0
9192;0;10000;0
9198;0;10000;0
9204;0;10000;0
9213;0;10000;0
9219;0;10000;0
9225;0;10000;0
9231;0;10000;0
9237;0;10000;0
9243;0;10000;0
9249;0;10000;0
9258;0;10000;0
9264;0;10000;0
9270;0;10000;0
9276;0;10000;0
9282;0;10000;0
9288;0;10000;0
9294;0;10000;0
9300;0;10000;0
9306;0;10000;0
9312;0;10000;0
9318;0;10000;0
9324;0;10000;0
9330;0;10000;0
9336;0;10000;0
9342;0;10000;0
9348;0;10000;0
9354;0;10000;0
9360;0;10000;0
9366;0;10000;0
9372;0;10000;0
9378;0;10000;0
9384;0;10000;0
9390;0;10000;0
9396;0;10000;0
9402;0;10000;0
9408;0;10000;0
9414;0;10000;0
9420;0;10000;0
9426;0;10000;0
9432;0;10000;0
9438;0;10000;0
9444;0;10000;0
9450;0;10000;0
9456;0;10000;0
9462;0;10000;0
9471;0;10000;0
9477;0;10000;0
9483;0;10000;0
9489;0;10000;0
9495;0;10000;0
9501;0;10000;0
9507;0;10000;0
9513;0;10000;0
9519;0;10000;0
9525;0;10000;0
9531;0;10000;0
9537;0;10000;0
9543;0;10000;0
9549;0;10000;0
9555;0;10000;0
9561;0;10000;0
9567;0;10000;0
9573;0;10000;0
9579;0;10000;0
9585;0;10000;0
9591;0;10000;0
9597;0;10000;0
9606;0;10000;0
9612;0;10000;0
9618;0;10000;0
9624;0;10000;0
9630;0;10000;0
9636;0;10000;0
9642;0;10000;0
9648;0;10000;0
9654;0;10000;0
9660;0;10000;0
9666;0;10000;0
9672;0;10000;0
9678;0;10000;0
9684;0;10000;0
9690;0;10000;0
9696;0;10000;0
9702;0;10000;0
9708;0;10000;0
9711;0;10000;0
9717;0;10000;0
9723;0;10000;0
9729;0;10000;0
9735;0;10000;0
9741;0;10000;0
9747;0;10000;0
9753;0;10000;0
9759;0;10000;0
9765;0;10000;0
9771;0;10000;0
9777;0;10000;0
9786;0;10000;0
9792;0;10000;0
9798;0;10000;0
9804;0;10000;0
9810;0;10000;0
9816;0;10000;0
9822;0;10000;0
9828;0;10000;0
9834;0;10000;0
9840;0;10000;0
9846;0;10000;0
9852;0;10000;0
9858;0;10000;0
9864;0;10000;0
9870;0;10000;0
9876;0;10000;0
