tiempo;error;integral;derivada;setPoint
14472;7104;2026;-7088;0
14478;7152;4064;-7088;0
14484;7200;6116;-7088;3
14490;7203;8175;-7088;0
14496;7199;10000;-7088;0
14502;7247;10000;-7088;1
14508;7295;10000;-401;3
14514;7343;10000;-401;0
14520;7339;10000;-401;0
14526;7335;10000;-401;1
14532;7383;10000;-401;0
14538;7431;10000;-401;0
14544;7427;10000;-401;2
14550;7423;10000;-401;4
14556;7471;10000;-592;0
14562;7519;10000;-592;1
14568;7567;10000;-592;0
14574;7615;10000;-592;0
14580;7663;10000;-592;0
14586;7665;10000;-592;2
14592;7713;10000;-592;0
14598;7761;10000;-592;0
14604;7809;10000;-592;1
14610;7805;10000;-592;2
14616;7853;10000;-562;0
14622;7901;10000;-562;1
14628;7949;10000;-562;2
14634;7997;10000;-562;0
14643;8077;10000;-562;1
14649;8125;10000;-562;0
14655;8121;10000;-562;0
14661;8169;10000;-562;1
14667;8217;10000;-484;4
14673;8265;10000;-484;1
14679;8365;10000;-484;1
14685;8413;10000;-484;0
14691;8461;10000;-484;0
14697;8509;10000;-484;0
14703;8557;10000;-484;0
14709;8605;10000;-484;0
14715;8653;10000;-332;0
14721;8701;10000;-332;2
14727;8749;10000;-332;2
14733;8797;10000;-332;0
14739;8845;10000;-192;0
14745;8945;10000;20;2
14751;8993;10000;20;0
14757;9041;10000;20;0
14763;9089;10000;20;2
14769;9183;10000;20;2
14775;9231;10000;20;0
14781;9279;10000;20;0
14787;9327;10000;20;3
14793;9375;10000;20;0
14799;9423;10000;20;0
14805;9471;10000;-434;2
14811;9519;10000;-434;0
14817;9619;10000;-434;0
14823;9667;10000;-434;0
14829;9715;10000;-140;1
14835;9815;10000;-140;0
14841;9863;10000;-140;0
14847;9911;10000;-140;3
14853;9959;10000;-140;0
14859;10059;10000;-140;1
14865;10107;10000;-140;3
14871;10207;10000;-140;0
14877;10255;10000;-212;0
14883;10303;10000;-212;0
14889;10351;10000;-212;5
14895;10415;10000;-212;0
14901;10447;10000;-212;1
14907;10563;10000;-212;2
14913;10595;10000;-212;0
14919;10659;10000;-212;0
14925;10752;10000;-212;1
14931;10800;10000;-367;0
14937;10848;10000;-367;0
14943;10941;10000;-367;0
14949;10989;10000;-367;0
14955;11037;10000;-367;0
14961;11137;10000;-367;2
14967;11185;10000;-367;2
14973;11233;10000;-367;0
14979;11281;10000;-367;0
14985;11329;10000;-303;3
14991;11377;10000;-303;1
14997;11477;10000;-303;1
15003;11525;10000;-303;2
15009;11573;10000;-303;0
15015;11673;10000;-303;0
15021;11721;10000;-184;2
15027;11769;10000;-184;4
15033;11869;10000;-184;2
15039;11917;10000;-184;1
15045;11965;10000;-184;2
15051;12065;10000;-184;2
15057;12113;10000;-184;0
15063;12161;10000;-184;2
15069;12209;10000;-184;2
15075;12257;10000;-328;0
15081;12305;10000;-328;1
15087;12353;10000;-328;2
15093;12401;10000;-328;0
15099;12449;10000;-328;0
15105;12497;10000;-328;2
15111;12545;10000;-32;0
15117;12593;10000;-32;0
15123;12687;10000;14;3
15129;12735;10000;14;1
15135;12783;10000;14;0
15141;12831;10000;14;0
15147;12879;10000;14;3
15153;12927;10000;14;0
15159;12975;10000;14;1
15165;13023;10000;14;3
15171;13071;10000;14;0
15177;13073;10000;14;1
15183;13121;10000;-526;0
15189;13169;10000;-526;2
15195;13217;10000;-526;0
15201;13265;10000;-526;2
15207;13313;10000;-526;2
15213;13361;10000;-526;0
15219;13409;10000;-526;1
15225;13457;10000;-526;1
15231;13505;10000;-526;0
15237;13553;10000;-16;0
15243;13601;10000;-16;1
15249;13649;10000;-16;0
15255;13697;10000;-16;0
15261;13693;10000;-68;1
15267;13741;10000;-68;1
15273;13737;10000;-68;1
15279;13785;10000;-68;1
15285;13801;10000;-68;2
15291;13853;10000;-68;0
15297;13905;10000;-68;0
15303;14003;10000;-68;1
15309;13951;10000;-68;2
15315;13951;10000;-68;1
15321;14003;10000;-10;0
15327;14107;10000;-10;1
15333;14107;10000;-10;0
15339;14107;10000;-10;0
15345;14107;10000;-10;3
15351;14107;10000;-10;0
15357;14159;10000;-10;0
15363;14211;10000;-10;0
15369;14211;10000;-10;0
15375;14211;10000;-10;1018
15381;14256;10000;253;1018
15387;14256;10000;253;1018
15393;14308;10000;253;1018
15399;14308;10000;253;1018
15405;14308;10000;253;1018
15411;14308;10000;253;1018
15417;14308;10000;253;1018
15423;14308;10000;253;1018
15429;14308;10000;253;1018
15435;14308;10000;253;1018
15441;14360;10000;52;1018
15447;14360;10000;52;1018
15453;14360;10000;52;1018
15459;14360;10000;52;1018
15465;14360;10000;52;1018
15471;14360;10000;52;1018
15477;14360;10000;52;1018
15483;14360;10000;52;1018
15489;14360;10000;52;1018
15495;14308;10000;52;1018
15501;14308;10000;-52;1018
15507;14308;10000;-52;1018
15513;14308;10000;-52;1018
15519;14308;10000;-52;1018
15525;14308;10000;-52;1018
15531;14308;10000;-52;1018
15537;14256;10000;-52;1018
15543;14256;10000;-52;1018
15549;14256;10000;-52;1018
15555;14211;10000;-97;1018
15561;14211;10000;-97;1018
15567;14211;10000;-97;1018
15573;14159;10000;-97;1018
15579;14159;10000;-97;1018
15585;14107;10000;-97;1018
15591;14107;10000;-97;1018
15597;14107;10000;-97;1018
15603;14055;10000;-97;1018
15609;14055;10000;-97;1018
15615;14003;10000;-208;1018
15621;14003;10000;-208;1018
15627;13951;10000;-208;1018
15633;13905;10000;-208;1018
15639;13905;10000;-208;967
15645;13905;10000;-208;967
15651;13853;10000;-208;967
15657;13853;10000;-208;967
15663;13801;10000;-208;967
15669;13801;10000;-208;915
15675;13749;10000;-254;915
15681;13697;10000;-254;915
15687;13697;10000;-254;915
15693;13697;10000;-254;915
15699;13645;10000;-254;860
15705;13600;10000;-254;860
15711;13600;10000;-254;860
15717;13555;10000;-254;860
15723;13555;10000;-254;860
15729;13503;10000;-254;860
15735;13503;10000;-246;809
15741;13503;10000;-246;809
15747;13451;10000;-246;809
15753;13399;10000;-246;809
15759;13399;10000;-246;809
15765;13399;10000;-246;754
15771;13347;10000;-246;754
15777;13347;10000;-246;754
15783;13295;10000;-246;754
15789;13295;10000;-208;754
15795;13295;10000;-208;699
15801;13249;10000;-208;699
15807;13249;10000;-208;699
15813;13197;10000;-208;699
15819;13197;10000;-208;648
15825;13197;10000;-208;648
15831;13145;10000;-208;648
15837;13145;10000;-208;648
15843;13145;10000;-150;648
15849;13093;10000;-150;596
15855;13093;10000;-150;596
15861;13093;10000;-150;596
15867;13093;10000;-150;596
15873;13093;10000;-150;596
15879;13093;10000;-150;545
15885;13093;10000;-150;545
15891;13093;10000;-150;545
15897;13093;10000;-52;545
15903;13093;10000;-52;545
15909;13093;10000;-66;493
15915;13093;10000;-61;493
15921;13093;10000;-57;493
15927;13093;10000;-54;493
15933;13093;10000;-50;493
15939;13093;10000;-48;437
15945;13093;10000;-45;437
15951;13093;10000;-43;437
15957;13093;10000;-41;437
15963;13093;10000;-39;437
15969;13093;10000;-37;382
15975;13093;10000;-36;382
15981;13093;10000;-34;382
15987;13145;10000;52;382
15993;13145;10000;52;382
15999;13145;10000;52;328
16005;13197;10000;52;328
16011;13197;10000;52;328
16017;13197;10000;52;328
16023;13197;10000;52;328
16029;13249;10000;52;328
16035;13249;10000;52;272
16041;13295;10000;52;272
16047;13295;10000;150;272
16053;13295;10000;150;272
16062;13295;10000;150;272
16068;13295;10000;150;272
16074;13347;10000;150;221
16080;13347;10000;150;221
16086;13399;10000;150;221
16092;13399;10000;150;221
16098;13399;10000;150;221
16104;13399;10000;104;221
16110;13451;10000;104;221
16116;13503;10000;104;167
16122;13503;10000;104;167
16128;13503;10000;104;167
16134;13503;10000;104;167
16140;13555;10000;104;167
16146;13555;10000;156;167
16152;13555;10000;156;167
16158;13600;10000;156;167
16164;13600;10000;156;116
16170;13600;10000;156;116
16176;13645;10000;156;116
16182;13645;10000;156;116
16188;13697;10000;156;116
16194;13697;10000;156;116
16200;13697;10000;142;116
16206;13697;10000;142;116
16212;13749;10000;142;116
16218;13749;10000;142;64
16224;13749;10000;142;64
16230;13801;10000;142;64
16236;13801;10000;142;64
16242;13801;10000;142;64
16248;13853;10000;156;992
16254;13853;10000;156;992
16260;13905;10000;156;992
16266;13905;10000;156;992
16272;13905;10000;156;992
16278;13905;10000;156;992
16284;13905;10000;156;992
16290;13905;10000;156;992
16296;13951;10000;156;992
16302;13951;10000;156;992
16308;13951;10000;98;992
16314;13951;10000;98;992
16320;14003;10000;98;992
16326;14003;10000;98;992
16332;14003;10000;98;992
16338;14003;10000;98;992
16344;14003;10000;98;992
16350;14003;10000;98;992
16356;14003;10000;52;992
16362;14003;10000;52;992
16368;14003;10000;52;992
16374;14003;10000;52;992
16380;14003;10000;58;992
16386;14003;10000;54;992
16392;14003;10000;51;992
16398;14003;10000;48;992
16404;14003;10000;46;992
16410;14003;10000;43;992
16416;14003;10000;41;992
16422;14003;10000;39;992
16428;14003;10000;37;992
16434;14003;10000;36;992
16440;14003;10000;34;992
16446;14003;10000;33;992
16452;14003;10000;32;992
16458;14003;10000;31;992
16464;13951;10000;-52;992
16470;13951;10000;-52;992
16476;13951;10000;-52;992
16482;13951;10000;-52;992
16488;13905;10000;-52;992
16494;13905;10000;-52;992
16500;13905;10000;-52;992
16506;13905;10000;-52;992
16512;13905;10000;-52;992
16518;13905;10000;-52;992
16524;13905;10000;-46;992
16530;13853;10000;-46;992
16536;13853;10000;-46;992
16542;13853;10000;-46;992
16548;13801;10000;-104;992
16554;13801;10000;-104;992
16560;13801;10000;-104;992
16566;13801;10000;-104;992
16572;13749;10000;-104;992
16578;13749;10000;-104;992
16584;13749;10000;-104;992
16590;13697;10000;-104;992
16596;13697;10000;-104;992
16602;13697;10000;-104;992
16608;13697;10000;-104;992
16614;13697;10000;-104;992
16620;13645;10000;-104;992
16626;13645;10000;-104;992
16632;13600;10000;-104;992
16638;13600;10000;-104;992
16644;13600;10000;-104;992
16650;13600;10000;-97;992
16656;13555;10000;-97;992
16662;13555;10000;-97;992
16668;13555;10000;-97;992
16674;13555;10000;-97;992
16680;13503;10000;-97;992
16686;13503;10000;-97;992
16692;13503;10000;-97;992
16698;13503;10000;-97;992
16704;13503;10000;-97;992
16710;13503;10000;-97;992
16716;13503;10000;-97;992
16722;13451;10000;-97;992
16728;13451;10000;-97;992
16734;13451;10000;-97;992
16740;13399;10000;-52;992
16746;13399;10000;-52;992
16752;13399;10000;-52;992
16758;13399;10000;-52;992
16764;13399;10000;-52;992
16770;13399;10000;-52;992
16776;13399;10000;-52;992
16782;13399;10000;-52;992
16788;13399;10000;-52;992
16794;13399;10000;-52;992
16800;13399;10000;-64;992
16806;13399;10000;-59;992
16812;13399;10000;-55;992
16818;13399;10000;-52;992
16824;13399;10000;-49;992
16830;13399;10000;-46;992
16836;13399;10000;-44;992
16842;13399;10000;-42;992
16848;13399;10000;-40;992
16854;13399;10000;-38;992
16860;13399;10000;-36;992
16866;13399;10000;-35;992
16872;13399;10000;-33;992
16878;13399;10000;-32;992
16884;13399;10000;-31;992
16890;13399;10000;-30;992
16896;13399;10000;-29;992
16902;13399;10000;-28;992
16908;13399;10000;-27;992
16914;13451;10000;52;992
16920;13451;10000;52;992
16926;13451;10000;52;992
16932;13451;10000;52;992
16938;13503;10000;52;992
16944;13503;10000;52;992
16950;13503;10000;52;992
16956;13503;10000;52;992
16962;13503;10000;52;992
16968;13503;10000;52;992
16974;13503;10000;52;992
16980;13503;10000;52;992
16986;13503;10000;52;992
16992;13503;10000;52;992
16998;13503;10000;58;992
17004;13555;10000;52;992
17010;13555;10000;52;992
17016;13555;10000;52;992
17022;13555;10000;52;992
17028;13555;10000;52;992
17034;13555;10000;52;992
17040;13600;10000;52;992
17046;13600;10000;52;992
17052;13600;10000;52;992
17058;13600;10000;52;992
17064;13600;10000;45;992
17070;13600;10000;45;992
17076;13645;10000;45;992
17082;13645;10000;45;992
17088;13645;10000;45;992
17094;13645;10000;45;992
17100;13645;10000;45;992
17106;13697;10000;45;992
17112;13697;10000;45;992
17118;13697;10000;45;992
17124;13697;10000;45;992
17130;13697;10000;45;992
17136;13697;10000;52;992
17142;13697;10000;52;992
17148;13697;10000;52;992
17154;13697;10000;52;992
17160;13697;10000;52;992
17166;13697;10000;55;992
17172;13697;10000;52;992
17178;13697;10000;49;992
17184;13697;10000;46;992
17190;13749;10000;52;992
17196;13749;10000;52;992
17202;13749;10000;52;992
17208;13749;10000;52;992
17214;13749;10000;52;992
17220;13749;10000;52;992
