tiempo;error;integral;derivada;setPoint
18786;-87;-24;1;1020;
18792;-86;-48;1;1020;
18798;-85;-72;0;1020;
18804;-84;-96;0;1020;
18810;-82;-118;1;1020;
18816;-81;-140;1;1020;
18822;-80;-162;1;1020;
18828;-79;-184;0;1020;
18834;-78;-206;0;1020;
18840;-77;-228;0;1020;
18846;-76;-248;0;1020;
18852;-74;-268;1;1020;
18858;-73;-288;1;1020;
18864;-72;-308;1;1020;
18870;-71;-328;1;1020;
18876;-70;-348;1;1020;
18882;-69;-367;1;1020;
18888;-68;-385;1;1020;
18894;-67;-403;1;1020;
18900;-66;-421;1;1020;
18906;-65;-439;1;1020;
18912;-64;-457;1;1020;
18918;-63;-475;1;1020;
18924;-63;-493;0;1020;
18933;-61;-517;1;1020;
18939;-60;-533;1;1020;
18945;-59;-549;1;1020;
18951;-59;-565;0;1020;
18957;-58;-581;0;1020;
18963;-57;-597;0;1020;
18969;-56;-613;0;1020;
18975;-55;-628;1;1020;
18981;-54;-642;1;1020;
18987;-54;-656;0;1020;
18993;-53;-670;0;1020;
18999;-52;-684;1;1020;
19005;-51;-698;1;1020;
19011;-51;-712;0;1020;
19017;-50;-726;0;1020;
19023;-49;-740;1;1020;
19029;-49;-754;0;1020;
19035;-48;-766;0;1020;
19041;-47;-778;0;1020;
19047;-46;-790;1;1020;
19053;-46;-802;0;1020;
19059;-45;-814;0;1020;
19065;-44;-826;1;1020;
19071;-44;-838;0;1020;
19077;-43;-850;1;1020;
19083;-43;-862;0;1020;
19089;-42;-874;0;1020;
19095;-41;-885;1;1020;
19101;-41;-895;0;1020;
19107;-40;-905;1;1020;
19113;-40;-915;0;1020;
19119;-39;-925;0;1020;
19125;-39;-935;0;1020;
19131;-38;-945;0;1020;
19137;-37;-955;1;1020;
19143;-37;-965;0;1020;
19149;-36;-975;1;1020;
19155;-36;-985;0;1020;
19161;-35;-995;1;1020;
19167;-35;-1005;0;1020;
19173;-34;-1014;1;1020;
19179;-34;-1022;0;1020;
19185;-33;-1030;1;1020;
19191;-33;-1038;0;1020;
19197;-32;-1046;1;1020;
19203;-32;-1054;0;1020;
19212;-31;-1066;1;1020;
19218;-31;-1074;0;1020;
19224;-30;-1082;1;1020;
19230;-30;-1090;0;1020;
19236;-30;-1098;0;1020;
19242;-29;-1106;0;1020;
19248;-29;-1114;0;1020;
19257;-28;-1126;0;1020;
19263;-28;-1134;0;1020;
19269;-27;-1141;1;1020;
19275;-27;-1147;0;1020;
19281;-27;-1153;0;1020;
19287;-26;-1159;0;1020;
19293;-26;-1165;0;1020;
19299;-25;-1171;1;1020;
19305;-25;-1177;0;1020;
19311;-25;-1183;0;1020;
19317;-24;-1189;1;1020;
19323;-24;-1195;0;1020;
19329;-24;-1201;0;1020;
19335;-23;-1207;1;1020;
19341;-23;-1213;0;1020;
19347;-23;-1219;0;1020;
19353;-23;-1225;0;1020;
19359;-22;-1231;0;1020;
19365;-22;-1237;0;1020;
19371;-22;-1243;0;1020;
19377;-21;-1249;0;1020;
19383;-21;-1255;0;1020;
19389;-21;-1261;0;1020;
19395;-20;-1266;1;1020;
19401;-20;-1270;0;1020;
19407;-20;-1274;0;1020;
19413;-20;-1278;0;1020;
19419;-19;-1282;0;1020;
19425;-19;-1286;0;1020;
19431;-19;-1290;0;1020;
19437;-19;-1294;0;1020;
19443;-18;-1298;0;1020;
19449;-18;-1302;0;1020;
19455;-18;-1306;0;1020;
19461;-18;-1310;0;1020;
19467;-17;-1314;0;1020;
19473;-17;-1318;0;1020;
19479;-17;-1322;0;1020;
19485;-17;-1326;0;1020;
19491;-16;-1330;0;1020;
19497;-16;-1334;0;1020;
19503;-16;-1338;0;1020;
19509;-16;-1342;0;1020;
19515;-16;-1346;0;1020;
19521;-15;-1350;0;1020;
19527;-15;-1354;0;1020;
19533;-15;-1358;0;1020;
19539;-15;-1362;0;1020;
19545;-15;-1366;0;1020;
19551;-14;-1370;0;1020;
19557;-14;-1374;0;1020;
19563;-14;-1378;0;1020;
19569;-14;-1382;0;1020;
19575;-14;-1386;0;1020;
19581;-13;-1388;0;1020;
19587;-13;-1390;0;1020;
19593;-13;-1392;0;1020;
19599;-13;-1394;0;1020;
19605;-13;-1396;0;1020;
19611;-13;-1398;0;1020;
19617;-12;-1400;1;1020;
19623;-12;-1402;0;1020;
19629;-12;-1404;0;1020;
19635;-12;-1406;0;1020;
19641;-12;-1408;0;1020;
19647;-12;-1410;0;1020;
19653;-12;-1412;0;1020;
19659;-11;-1414;0;1020;
19665;-11;-1416;0;1020;
19671;-11;-1418;0;1020;
19677;-11;-1420;0;1020;
19683;-11;-1422;0;1020;
19689;-11;-1424;0;1020;
19695;-11;-1426;0;1020;
19701;-10;-1428;0;1020;
19707;-10;-1430;0;1020;
19713;-10;-1432;0;1020;
19719;-10;-1434;0;1020;
19725;-10;-1436;0;1020;
19731;-10;-1438;0;1020;
19737;-9;-1440;1;1020;
19743;-9;-1442;0;1020;
19749;-9;-1444;0;1020;
19755;-9;-1446;0;1020;
19761;-9;-1448;0;1020;
19767;-9;-1450;0;1020;
19773;-9;-1452;0;1020;
19779;-9;-1454;0;1020;
19785;-9;-1456;0;1020;
19791;-9;-1458;0;1020;
19797;-8;-1460;1;1020;
19830;-8;-1471;0;1020;
19839;-8;-1474;0;1020;
19845;-8;-1476;0;1020;
19851;-8;-1478;0;1020;
19857;-7;-1480;1;1020;
19863;-7;-1482;0;1020;
19869;-7;-1484;0;1020;
19875;-7;-1486;0;1020;
19881;-7;-1488;0;1020;
19887;-7;-1490;0;1020;
19893;-7;-1492;0;1020;
19899;-7;-1494;0;1020;
19908;-7;-1497;0;1020;
19914;-7;-1499;0;1020;
19920;-6;-1499;0;1020;
19926;-6;-1499;0;1020;
19932;-6;-1499;0;1020;
19938;-6;-1499;0;1020;
19944;-6;-1499;0;1020;
19950;-6;-1499;0;1020;
