tiempo;error;integral;derivada;setPoint
11091;-87;-24;1;1021
11100;-85;-60;1;1021
11109;-84;-96;0;1021
11115;-82;-118;1;1021
11121;-81;-140;1;1021
11124;-81;-151;0;1021
11145;-77;-228;0;1021
11166;-73;-298;0;1021
11178;-71;-338;0;1021
11190;-69;-376;0;1021
11199;-67;-403;1;1021
11205;-66;-421;1;1021
11211;-65;-439;1;1021
11223;-63;-475;1;1021
11229;-62;-492;1;1021
11235;-62;-508;0;1021
11241;-61;-524;0;1021
11247;-60;-540;0;1021
11256;-59;-564;0;1021
11283;-55;-634;0;1021
11289;-54;-648;0;1021
11298;-53;-669;0;1021
11304;-52;-683;1;1021
11310;-51;-697;1;1021
11367;-45;-818;0;1021
11373;-44;-830;0;1021
11379;-43;-842;1;1021
11436;-38;-943;0;1021
11451;-37;-968;0;1021
11457;-36;-978;0;1021
11463;-36;-988;0;1021
11472;-35;-1003;0;1021
11478;-34;-1012;1;1021
11484;-34;-1020;0;1021
11490;-33;-1028;1;1021
11496;-33;-1036;0;1021
11502;-32;-1044;1;1021
11508;-32;-1052;0;1021
11514;-32;-1060;0;1021
11526;-31;-1076;0;1021
11532;-30;-1084;0;1021
11538;-30;-1092;0;1021
11550;-29;-1108;0;1021
11559;-28;-1120;1;1021
11565;-28;-1128;0;1021
11574;-27;-1139;1;1021
11580;-27;-1145;0;1021
11592;-26;-1157;0;1021
11598;-26;-1163;0;1021
11604;-25;-1169;1;1021
11610;-25;-1175;0;1021
11616;-25;-1181;0;1021
11625;-24;-1190;0;1021
11631;-24;-1196;0;1021
11637;-24;-1202;0;1021
11643;-23;-1208;0;1021
11649;-23;-1214;0;1021
11655;-23;-1220;0;1021
11661;-22;-1226;1;1021
11667;-22;-1232;0;1021
11673;-22;-1238;0;1021
11679;-21;-1244;1;1021
11685;-21;-1250;0;1021
11694;-21;-1259;0;1021
11700;-20;-1264;1;1021
11706;-20;-1268;0;1021
11712;-20;-1272;0;1021
11718;-20;-1276;0;1021
11724;-19;-1280;0;1021
11730;-19;-1284;0;1021
11739;-19;-1290;0;1021
11745;-18;-1294;1;1021
11751;-18;-1298;0;1021
11757;-18;-1302;0;1021
11769;-17;-1310;1;1021
11775;-17;-1314;0;1021
11793;-16;-1326;1;1021
11799;-16;-1330;0;1021
11805;-16;-1334;0;1021
11811;-16;-1338;0;1021
11817;-16;-1342;0;1021
11823;-15;-1346;1;1021
11829;-15;-1350;0;1021
11832;-15;-1352;0;1021
11838;-15;-1356;0;1021
11844;-15;-1360;0;1021
11850;-15;-1364;0;1021
11865;-14;-1374;0;1021
11871;-14;-1378;0;1021
11877;-14;-1382;0;1021
11883;-13;-1385;1;1021
11898;-13;-1390;0;1021
11907;-13;-1393;0;1021
11913;-13;-1395;0;1021
11922;-12;-1398;1;1021
11928;-12;-1400;0;1021
11955;-12;-1409;0;1021
11961;-11;-1411;1;1021
12018;-10;-1430;0;1021
12063;-9;-1445;0;1021
12069;-9;-1447;0;1021
12075;-9;-1449;0;1021
12096;-9;-1456;0;1021
12108;-8;-1460;0;1021
12111;-8;-1461;0;1021
12114;-8;-1462;0;1021
12132;-8;-1468;0;1021
12141;-8;-1471;0;1021
12147;-8;-1473;0;1021
12153;-8;-1475;0;1021
12165;-7;-1479;0;1021
12171;-7;-1481;0;1021
12177;-7;-1483;0;1021
12183;-7;-1485;0;1021
12231;-6;-1497;0;1021
12252;-6;-1497;0;1021
12336;-6;-1497;0;1021
12342;-5;-1497;1;1021
12381;-5;-1497;0;1021
12387;-5;-1497;0;1021
12399;-5;-1497;0;1021
12405;-5;-1497;0;1021
12411;-5;-1497;0;1021
12420;-5;-1497;0;1021
12426;-5;-1497;0;1021
12432;-5;-1497;0;1021
12438;-5;-1497;0;1021
12444;-5;-1497;0;1021
12453;-5;-1497;0;1021
12459;-5;-1497;0;1021
12465;-4;-1497;0;1021
12471;-4;-1497;0;1021
12477;-4;-1497;0;1021
12489;-4;-1497;0;1021
12498;-4;-1497;0;1021
12504;-4;-1497;0;1021
12510;-4;-1497;0;1021
12522;-4;-1497;0;1021
12525;-4;-1497;0;1021
12543;-4;-1497;0;1021
12561;-4;-1497;0;1021
12567;-4;-1497;0;1021
12573;-4;-1497;0;1021
12579;-4;-1497;0;1021
12582;-3;-1497;1;1021
12591;-3;-1497;0;1021
12597;-3;-1497;0;1021
12600;-3;-1497;0;1021
12603;-3;-1497;0;1021
12606;-3;-1497;0;1021
12612;-3;-1497;0;1021
12624;-3;-1497;0;1021
12627;-3;-1497;0;1021
12630;-3;-1497;0;1021
12645;-3;-1497;0;1021
12651;-3;-1497;0;1021
12657;-3;-1497;0;1021
12666;-3;-1497;0;1021
12672;-3;-1497;0;1021
12678;-3;-1497;0;1021
12684;-3;-1497;0;1021
12690;-3;-1497;0;1021
12696;-3;-1497;0;1021
12702;-3;-1497;0;1021
12711;-3;-1497;0;1021
12717;-3;-1497;0;1021
12723;-3;-1497;0;1021
12729;-3;-1497;0;1021
12735;-3;-1497;0;1021
12741;-3;-1497;0;1021
12747;-3;-1497;0;1021
12753;-3;-1497;0;1021
12759;-3;-1497;0;1021
12768;-3;-1497;0;1021
12774;-3;-1497;0;1021
12780;-3;-1497;0;1021
12801;-3;-1497;0;1021
12825;-3;-1497;0;1021
12828;-3;-1497;0;1021
12831;-3;-1497;0;1021
12924;-3;-1497;0;1021
12927;-3;-1497;0;1021
