tiempo;error;tiempoDev;derivada
21274;0;8;0
21324;0;24;0
21374;0;41;0
21424;0;58;0
21474;0;74;0
21524;0;91;0
21574;0;108;0
21624;0;125;0
21674;0;141;0
21724;0;158;0
21774;0;175;0
21824;0;191;0
21874;0;208;0
21924;0;225;0
21974;0;241;0
22024;0;258;0
22074;0;274;0
22124;0;291;0
22174;0;308;0
22224;0;324;0
22274;0;341;0
22324;0;358;0
22374;0;374;0
22424;0;391;0
22474;23;2;400
22524;101;1;700
22574;202;2;350
22624;286;2;400
22674;331;7;114
22724;346;15;53
22774;316;3;-233
22824;256;2;-350
22874;164;2;-350
22924;47;1;-700
22974;-62;2;-400
23024;-171;1;-700
23074;-256;2;-400
23124;-309;3;-266
23174;-323;13;-53
23224;-309;10;70
23274;-256;3;233
23324;-171;2;400
23374;-70;1;800
23424;23;2;400
23474;133;1;800
23524;210;3;266
23574;271;4;200
23624;294;10;80
23674;286;19;-42
23724;241;2;-350
23774;171;2;-400
23824;86;3;-500
23874;-7;3;-466
23924;-109;2;-400
23974;-187;3;-266
24024;-241;4;-200
24074;-271;8;-100
24124;-271;9;77
24174;-241;5;140
24224;-179;2;400
24274;-101;1;800
24324;-15;2;400
24374;70;2;400
24424;148;3;266
24474;210;3;266
24524;241;5;160
24574;241;9;-77
24624;218;4;-175
24674;171;3;-266
24724;101;1;-800
24774;23;2;-400
24824;-54;2;-350
24874;-133;2;-400
24924;-179;5;-160
24974;-218;8;-100
25024;-225;20;-35
25074;-210;6;133
25124;-171;5;160
25174;-117;3;266
25224;-39;1;800
25274;23;3;266
25324;101;1;700
25374;148;4;200
25424;187;6;133
25474;195;17;47
25524;187;31;-25
25574;156;5;-160
25624;109;4;-200
25674;47;3;-233
25724;-23;1;-800
25774;-86;1;-800
25824;-133;4;-200
25874;-164;8;-100
25924;-179;16;-50
25974;-171;27;29
26024;-148;5;160
26074;-109;4;200
26124;-54;3;266
26174;0;3;233
26224;54;4;175
26274;101;4;175
26324;140;6;116
26374;156;12;66
26424;148;18;-44
26474;133;7;-100
26524;101;5;-160
26574;54;4;-200
26624;7;4;-200
26674;-47;4;-200
26724;-94;4;-200
26774;-125;7;-114
26824;-140;13;-53
26874;-140;29;-24
26924;-125;12;66
26974;-94;4;175
27024;-54;4;200
27074;-15;6;133
27124;23;6;133
27174;70;3;266
27224;94;8;100
27274;109;15;53
27324;117;23;34
27374;101;8;-100
27424;86;10;-80
27474;54;7;-114
27524;15;6;-133
27574;-23;5;-160
27624;-54;5;-140
27674;-86;4;-200
27724;-101;9;-77
27774;-101;25;-28
27824;-94;36;19
27874;-78;12;66
27924;-54;8;100
27974;-23;5;160
28024;7;4;175
28074;31;7;114
28124;54;8;87
28174;70;12;66
28224;78;23;34
28274;70;17;-47
28324;54;5;-160
28374;39;6;-133
28424;23;10;-80
28474;-7;5;-140
28524;-23;11;-72
28574;-47;11;-72
28624;-54;18;-38
28674;-62;29;-27
28724;-54;23;34
28774;-54;40;20
28824;-39;15;53
28874;-23;11;72
28924;-7;13;61
28974;7;13;53
29024;23;14;57
29074;39;12;66
29124;39;28;28
29174;39;45;17
29224;39;62;12
29274;23;12;-66
29324;15;21;-38
29374;0;14;-50
29424;-7;17;-41
29474;-23;15;-53
29524;-23;32;-25
29574;-31;37;-21
29624;-31;54;-14
29674;-23;44;18
29724;-23;60;13
29774;-15;49;16
29824;-7;30;26
29874;0;31;22
29924;7;26;26
29974;7;43;16
30024;15;47;17
30074;15;64;12
30124;7;41;-19
30174;7;57;-14
30224;7;74;-10
30274;0;52;-13
30324;-7;24;-29
30374;-7;41;-17
30424;-7;58;-12
30474;-7;74;-9
30524;-7;91;-7
30574;-7;108;-6
30624;-7;125;-5
30674;-7;141;-4
30724;-7;158;-4
30774;-7;174;-4
30824;-7;191;-3
30874;-7;208;-3
30924;-7;224;-3
30974;-7;241;-2
