tiempo;angulo;tiempoDev;derivada
15519;0;0;0
15537;0;0;0
15549;0;0;0
15561;0;0;0
15564;0;0;0
15567;0;0;0
15573;0;0;0
15609;0;0;0
15615;0;0;0
15621;0;0;0
15627;0;0;0
15633;0;0;0
15639;0;0;0
15645;0;0;0
15651;0;0;0
15660;0;0;0
15675;0;0;0
15684;0;0;0
15696;0;0;0
15705;0;0;0
15711;0;0;0
15717;0;0;0
15723;0;0;0
15729;0;0;0
15735;0;0;0
15741;0;0;0
15750;0;0;0
15762;0;0;0
15768;0;0;0
15774;0;0;0
15798;0;0;0
15807;0;0;0
15816;0;0;0
15822;0;0;0
15828;0;0;0
15834;0;0;0
15840;0;0;0
15846;0;0;0
15852;0;0;0
15858;0;0;0
15864;0;0;0
15873;0;0;0
15879;0;0;0
15882;0;0;0
15888;0;0;0
15897;0;0;0
15903;0;0;0
15909;0;0;0
15918;0;0;0
15924;0;0;0
15930;0;0;0
15936;0;0;0
15942;0;0;0
15954;0;0;0
15963;0;0;0
15969;0;0;0
15975;0;0;0
15981;0;0;0
15987;0;0;0
15993;0;0;0
15999;0;0;0
16008;0;0;0
16014;0;0;0
16020;0;0;0
16026;0;0;0
16032;0;0;0
16041;0;0;0
16047;0;0;0
16053;0;0;0
16059;0;0;0
16065;0;0;0
16071;0;0;0
16077;0;0;0
16083;0;0;0
16089;0;0;0
16092;0;0;0
16098;0;0;0
16104;0;0;0
16110;0;0;0
16119;0;0;0
16125;0;0;0
16131;0;0;0
16137;0;0;0
16143;0;0;0
16149;0;0;0
16155;0;0;0
16164;0;0;0
16170;0;0;0
16176;0;0;0
16182;0;0;0
16188;0;0;0
16194;0;0;0
16200;0;0;0
16209;0;0;0
16215;0;0;0
16221;0;0;0
16227;0;0;0
16233;0;0;0
16239;0;0;0
16245;0;0;0
16251;0;0;0
16257;0;0;0
16266;0;0;0
16272;0;0;0
16278;0;0;0
16287;0;0;0
16293;0;0;0
16299;0;0;0
16311;0;0;0
16317;0;0;0
16323;0;0;0
16332;0;0;0
16338;0;0;0
16344;0;0;0
16350;0;0;0
16356;0;0;0
16362;0;0;0
16368;0;0;0
16374;0;0;0
16380;0;0;0
16383;0;0;0
16389;0;0;0
16395;0;0;0
16401;0;0;0
16407;0;0;0
16413;0;0;0
16422;0;0;0
16428;0;0;0
16434;0;0;0
16440;0;0;0
16446;0;0;0
16455;0;0;0
16461;0;0;0
16467;0;0;0
16473;0;0;0
16479;0;0;0
16485;0;0;0
16491;0;0;0
16500;0;0;0
16506;0;0;0
16512;0;0;0
16518;0;0;0
16524;0;0;0
16536;0;0;0
16545;0;0;0
16551;0;0;0
16557;0;0;0
16563;0;0;0
16569;0;0;0
16575;0;0;0
16581;0;0;0
16590;0;0;0
16596;0;0;0
16602;0;0;0
16608;0;0;0
16614;0;0;0
16623;0;0;0
16629;0;0;0
16635;0;0;0
16641;0;0;0
16647;0;0;0
16653;0;0;0
16659;0;0;0
16662;0;0;0
16668;0;0;0
16674;0;0;0
16680;0;0;0
16686;0;0;0
16692;0;0;0
16698;0;0;0
16704;0;0;0
16710;0;0;0
16716;0;0;0
16725;0;0;0
16731;0;0;0
16737;0;0;0
16743;0;0;0
16749;0;0;0
16758;0;0;0
16764;0;0;0
16770;0;0;0
16773;0;0;0
16782;0;0;0
16788;0;0;0
16803;0;0;0
17154;0;0;0
17163;0;0;0
17166;0;0;0
17175;0;0;0
17187;0;0;0
17196;0;0;0
17208;0;0;0
17217;0;0;0
17223;0;0;0
17229;0;0;0
17241;0;0;0
17247;0;0;0
17253;0;0;0
17259;0;0;0
17265;0;0;0
17274;0;0;0
17280;0;0;0
17286;0;0;0
17292;0;0;0
17298;0;0;0
17304;0;0;0
17310;0;0;0
17319;0;0;0
17325;0;0;0
17331;0;0;0
17340;0;0;0
17346;0;0;0
17352;0;0;0
17358;0;0;0
17364;0;0;0
17370;0;0;0
17376;0;0;0
17379;0;0;0
17385;0;0;0
17391;0;0;0
17397;0;0;0
17403;0;0;0
17409;0;0;0
17421;0;0;0
17433;0;0;0
17448;0;0;0
17454;0;0;0
17460;0;0;0
17466;0;0;0
17475;0;0;0
17481;0;0;0
17487;0;0;0
17493;0;0;0
17499;0;0;0
17508;0;0;0
17514;0;0;0
17520;0;0;0
17526;0;0;0
17532;0;0;0
17538;0;0;0
17544;0;0;0
17697;0;0;0
17718;0;0;0
17808;0;0;0
17811;0;0;0
17823;0;0;0
17829;0;0;0
17892;0;0;0
17901;0;0;0
17907;0;0;0
18261;0;0;0
18270;0;0;0
18282;0;0;0
18288;0;0;0
18291;0;0;0
18294;0;0;0
18426;0;0;0
18654;0;0;0
18708;0;0;0
18732;0;0;0
18753;0;0;0
18789;0;0;0
18795;0;0;0
18801;0;0;0
18810;0;0;0
18822;0;0;0
18831;0;0;0
18843;0;0;0
18849;0;0;0
18855;0;0;0
18870;0;0;0
18876;0;0;0
18888;0;0;0
18894;0;0;0
18900;0;0;0
18909;0;0;0
18915;0;0;0
18921;0;0;0
18927;0;0;0
18933;0;0;0
18942;0;0;0
18954;0;0;0
18969;0;0;0
18978;0;0;0
18990;0;0;0
19023;0;0;0
19044;0;0;0
19068;0;0;0
19089;0;0;0
19095;0;0;0
19101;0;0;0
19110;0;0;0
19116;0;0;0
19122;0;0;0
19128;0;0;0
19134;0;0;0
19140;0;0;0
19146;0;0;0
19155;0;0;0
19161;0;0;0
19167;0;0;0
19173;0;0;0
19179;0;0;0
19185;0;0;0
19191;0;0;0
19200;0;0;0
19206;0;0;0
19212;0;0;0
19224;0;0;0
19230;0;0;0
19236;0;0;0
19245;0;0;0
19257;0;0;0
19263;0;0;0
19269;0;0;0
19278;0;0;0
19284;0;0;0
19290;0;0;0
19296;0;0;0
19302;0;0;0
19314;0;0;0
19317;0;0;0
19320;0;0;0
19326;0;0;0
19335;0;0;0
19413;0;0;0
19419;0;0;0
19425;0;0;0
19431;0;0;0
19437;0;0;0
19449;0;0;0
19458;0;0;0
19464;0;0;0
19470;0;0;0
19476;0;0;0
19482;0;0;0
19491;0;0;0
19497;0;0;0
19503;0;0;0
19515;0;0;0
19521;0;0;0
19527;0;0;0
19530;0;0;0
19536;0;0;0
19542;0;0;0
19548;0;0;0
19554;0;0;0
19560;0;0;0
19566;0;0;0
19572;0;0;0
19593;0;0;0
19605;0;0;0
19614;0;0;0
19620;0;0;0
19626;0;0;0
19632;0;0;0
19638;0;0;0
19650;1;19646;0
19656;1;19646;0
19662;2;19646;0
19671;3;8;100
19683;4;10;80
19689;5;5;160
19695;5;5;160
19701;6;14;57
19707;7;7;100
19716;7;7;100
19722;8;13;61
19728;9;7;114
19734;9;7;114
19740;10;7;114
19752;11;9;88
19761;11;9;88
19767;12;9;88
19773;12;18;44
19779;13;9;77
19785;13;9;77
19794;13;9;77
19800;14;21;38
19806;14;21;38
19812;15;21;38
19818;15;15;53
19842;18;10;70
19845;19;10;70
19851;19;6;133
19863;21;5;160
19869;22;7;100
19875;23;4;200
19884;25;5;160
19890;26;5;160
19896;27;8;87
19902;27;6;133
19908;29;8;100
