tiempo;angulo;integral;derivada
19032;0;0;0
19038;0;0;0
19044;0;0;0
19053;0;0;0
19059;0;0;0
19065;0;0;0
19071;0;0;0
19077;0;0;0
19086;0;0;0
19092;0;0;0
19098;0;0;0
19104;0;0;0
19110;0;0;0
19116;0;0;0
19122;0;0;0
19131;0;0;0
19137;0;0;0
19143;0;0;0
19149;0;0;0
19155;0;0;0
19161;0;0;0
19167;0;0;0
19170;0;0;0
19176;0;0;0
19182;0;0;0
19188;0;0;0
19194;0;0;0
19200;0;0;0
19206;0;0;0
19212;0;0;0
19215;0;0;0
19221;0;0;0
19227;0;0;0
19233;0;0;0
19239;0;0;0
19245;0;0;0
19254;0;0;0
19260;0;0;0
19266;0;0;0
19272;0;0;0
19278;0;0;0
19284;0;0;0
19290;0;0;0
19299;0;0;0
19305;0;0;0
19311;0;0;0
19317;0;0;0
19323;0;0;0
19329;0;0;0
19338;0;0;0
19344;0;0;0
19350;0;0;0
19356;0;0;0
19362;0;0;0
19368;0;0;0
19374;0;0;0
19380;0;0;0
19389;0;0;0
19395;0;0;0
19401;0;0;0
19407;0;0;0
19413;0;0;0
19419;0;0;0
19425;0;0;0
19434;0;0;0
19440;0;0;0
19446;0;0;0
19452;0;0;0
19458;0;0;0
19464;0;0;0
19470;0;0;0
19476;0;0;0
19482;0;0;0
19491;0;0;0
19497;0;0;0
19503;0;0;0
19512;0;0;0
19518;0;0;0
19524;0;0;0
19530;0;0;0
19536;0;0;0
19542;0;0;0
19548;0;0;0
19554;0;0;0
19560;0;0;0
19569;0;0;0
19575;0;0;0
19581;0;0;0
19587;0;0;0
19593;0;0;0
19602;0;0;0
19608;0;0;0
19614;0;0;0
19620;0;0;0
19626;0;0;0
19635;0;0;0
19641;0;0;0
19647;0;0;0
19653;0;0;0
19659;0;0;0
19665;0;0;0
19671;0;0;0
19677;0;0;0
19683;0;0;0
19692;0;0;0
19704;0;0;0
19710;0;0;0
19716;0;0;0
19725;0;0;0
19731;0;0;0
19737;0;0;0
19743;0;0;0
19749;0;0;0
19755;0;0;0
19761;0;0;0
19770;0;0;0
19776;0;0;0
19782;0;0;0
19788;0;0;0
19794;0;0;0
19800;0;0;0
19806;0;0;0
19812;0;0;0
19818;0;0;0
19824;0;0;0
19830;0;0;0
19839;0;0;0
