tiempo;error;integral;derivada
13464;0;1000;-3
13473;0;3978;1
13479;-1;5952;0
13485;-3;7925;0
13491;-4;9907;0
13497;-3;10000;0
13503;-4;10000;0
13509;-6;10000;-114
13515;-7;10000;-114
13521;-7;10000;-114
13527;-7;10000;-114
13533;-8;10000;-114
13539;-9;10000;-333
13545;-9;10000;-333
13551;-10;10000;-333
13557;-11;10000;-333
13563;-11;10000;-333
13569;-11;10000;-226
13575;-12;10000;-226
13581;-13;10000;-226
13587;-13;10000;-329
13593;-14;10000;-329
13599;-14;10000;-329
13605;-15;10000;-329
13611;-15;10000;-400
13617;-15;10000;-400
13623;-15;10000;-400
13629;-16;10000;-400
13635;-16;10000;-518
13641;-16;10000;-518
13647;-16;10000;-518
13653;-17;10000;-518
13659;-17;10000;-518
13665;-17;10000;-780
13677;-17;10000;-780
13683;-17;10000;1
13689;-17;10000;1
13695;-17;10000;1
13701;-17;10000;1
13707;-17;10000;1
13713;-17;10000;1
13719;-17;10000;1
13725;-17;10000;1
13731;-16;10000;-87
13737;-16;10000;-87
13743;-16;10000;-87
13749;-15;10000;-87
13755;-15;10000;-87
13761;-15;10000;-1536
13767;-15;10000;-1536
13773;-15;10000;-1536
13779;-14;10000;-735
13785;-14;10000;-735
13791;-13;10000;-735
13797;-13;10000;-735
13803;-12;10000;-735
13809;-11;10000;859
13815;-11;10000;859
13821;-11;10000;859
13827;-10;10000;859
13833;-9;10000;859
13839;-9;10000;1197
13845;-8;10000;1197
13851;-7;10000;1197
13857;-7;10000;1197
13863;-7;10000;1197
13869;-6;10000;-1950
13875;-5;10000;-1950
13881;-5;10000;-904
13887;-4;10000;-904
13893;-3;10000;-904
13899;-3;10000;-904
13905;-3;10000;-904
13911;-2;10000;910
13917;-1;10000;910
13923;0;10000;910
13929;0;10000;910
13935;1;10000;910
13941;1;10000;1047
13947;2;10000;1047
13953;3;10000;1047
13959;3;10000;1047
13965;4;10000;1636
13971;5;10000;1636
13974;5;10000;1636
13980;5;10000;1636
13986;6;10000;-1466
13992;7;10000;-1466
13998;7;10000;-1466
14004;7;10000;-1095
14010;8;10000;-1095
14016;9;10000;-1095
14022;9;10000;-1095
14028;9;10000;-1166
14034;9;10000;-1166
14040;10;10000;-1166
14046;10;10000;-1166
14052;11;10000;-1161
14058;11;10000;-1161
14064;11;10000;-1161
14070;12;10000;-942
14076;12;10000;-942
14082;12;10000;-942
14088;13;10000;-942
14094;13;10000;-942
14100;13;10000;-1350
14106;13;10000;-1350
14112;13;10000;-1350
14118;13;10000;1
14124;13;10000;1
14130;13;10000;1
14136;13;10000;1
14142;13;10000;1
14148;13;10000;1
14154;13;10000;1
14160;13;10000;1
14166;14;10000;-110
14172;13;10000;-110
14178;13;10000;-110
14184;13;10000;-110
14190;13;10000;-110
14196;13;10000;-2088
14202;13;10000;1
14208;13;10000;1
14214;13;10000;1
14220;12;10000;31
14226;12;10000;31
14232;12;10000;31
14238;11;10000;31
14244;11;10000;31
14250;11;10000;-1044
14256;10;10000;-1044
14262;10;10000;-1044
14268;9;10000;-484
14274;9;10000;-484
14280;9;10000;-484
14286;8;10000;-175
14292;8;9996;-175
14298;7;9992;-175
14304;7;9975;-175
14310;6;9951;-175
14316;5;9919;-591
14322;5;9889;-591
14328;5;9845;-591
14334;4;9787;-591
14340;4;9730;-342
14346;3;9674;-342
14352;2;9604;-342
14361;1;9496;-342
14367;1;9422;-251
14373;1;9334;-251
14379;0;9233;-251
14385;0;9131;-251
14391;-1;9021;-251
14397;-1;8904;-450
14403;-2;8789;-450
14409;-3;8660;-450
14415;-3;8532;-450
14421;-3;8390;-571
14427;-4;8242;-571
14433;-5;8088;-571
14439;-5;7935;-571
14478;-7;6719;-361
14517;-10;5154;-480
14523;-10;4881;-480
14529;-11;4602;-480
14535;-11;4317;-480
14541;-11;4018;-823
14547;-11;3705;-823
14553;-11;3379;-823
14559;-11;3039;1
14565;-11;2685;1
14571;-12;2325;44
14577;-12;1959;44
14583;-12;1579;44
14589;-12;1185;44
14595;-12;778;44
14601;-12;357;44
14607;-12;-78;1
14613;-12;-527;1
14619;-12;-989;1
14625;-12;-1465;1
14631;-12;-1955;1
14640;-11;-2722;-101
14646;-11;-3261;-101
14652;-11;-3813;-101
14658;-11;-4379;-101
14664;-11;-4959;-101
14670;-11;-5553;1
14676;-11;-6161;1
14682;-11;-6782;1
14688;-10;-7432;-182
14694;-10;-8096;-182
14700;-10;-8773;-182
14706;-9;-9479;-182
14712;-9;-10000;-182
14718;-9;-10000;-1622
14724;-8;-10000;-1622
14730;-8;-10000;-1622
14736;-7;-10000;-933
14742;-7;-10000;-933
14748;-7;-10000;-933
14754;-7;-10000;-1927
14760;-7;-10000;-1927
14766;-6;-10000;-507
14772;-5;-10000;-507
14778;-5;-10000;-507
14784;-5;-10000;-507
14790;-5;-10000;-507
14796;-4;-10000;-2509
14802;-3;-10000;-2509
14808;-3;-10000;-740
14814;-3;-10000;-740
14820;-3;-10000;-740
14826;-2;-10000;-740
14832;-2;-10000;-1181
14838;-1;-10000;-1181
14844;-1;-10000;-1181
14850;0;-10000;-1181
14856;0;-10000;-975
14862;1;-10000;-975
14868;1;-10000;-975
14874;1;-10000;-975
14880;1;-10000;-975
14886;2;-10000;-2383
14892;2;-10000;-2383
14898;3;-10000;-643
14904;3;-10000;-643
14910;3;-10000;-643
14916;4;-10000;-910
14922;5;-10000;-910
14928;5;-10000;-910
14934;5;-10000;-910
14940;5;-10000;-910
14946;5;-10000;-4171
14952;6;-10000;-333
14958;6;-10000;-333
14964;7;-10000;-333
14970;7;-10000;-333
14976;7;-10000;-333
14982;7;-10000;-2192
14988;7;-10000;-2192
14994;8;-10000;-2192
15000;8;-10000;-580
15006;8;-10000;-580
15012;8;-10000;-580
15018;9;-10000;-580
15024;9;-10000;-580
15030;9;-10000;-1460
15036;9;-10000;-1460
15042;9;-10000;-1460
15048;9;-10000;1
15054;9;-10000;1
15060;9;-10000;1
15066;9;-10000;1
15072;9;-10000;1
15078;9;-10000;1
15084;9;-10000;1
15090;9;-10000;1
15096;9;-10000;1
15102;9;-10000;1
15108;9;-10000;1
15114;9;-10000;1
15120;9;-10000;1
15126;8;-10000;1
15132;8;-10000;17
15138;8;-10000;17
15144;8;-10000;17
15150;7;-10000;17
15156;7;-10000;17
15162;7;-10000;-989
15168;7;-10000;-989
15174;9;-10000;-989
15180;10;-10000;-428
15186;9;-10000;-428
15192;9;-10000;-428
15198;10;-10000;-428
15204;11;-10000;-428
15210;12;-10000;-487
15216;12;-10000;-487
15222;12;-10000;-487
15228;12;-10000;-487
15234;13;-10000;-487
15240;13;-10000;-191
15246;14;-10000;-191
15252;14;-10000;-191
15258;14;-10000;-191
15264;14;-10000;-305
15270;15;-10000;-305
15276;15;-10000;-305
15282;15;-10000;-216
15288;15;-10000;-216
15294;15;-10000;-216
15300;15;-10000;-216
15306;15;-10000;-88
15312;15;-10000;-80
15318;15;-10000;-73
15324;15;-10000;-67
15330;15;-10000;-62
15336;15;-10000;-58
15342;15;-10000;-54
15348;15;-10000;-51
15354;15;-10000;-48
15360;15;-10000;-46
15366;14;-10000;55
15372;14;-10000;55
15378;14;-10000;55
15384;13;-10000;55
15390;13;-10000;55
15396;13;-10000;325
15402;13;-10000;325
15408;12;-10000;325
15414;12;-10000;164
15420;11;-10000;164
15426;11;-10000;164
15432;11;-10000;164
15438;10;-10000;164
15444;9;-10000;400
15450;9;-10000;400
15456;9;-10000;400
15462;8;-10000;400
15468;8;-10000;371
15474;7;-10000;371
15480;7;-10000;371
15516;3;-10000;551
15522;3;-10000;452
15528;2;-10000;452
15534;1;-10000;452
15540;1;-10000;452
15546;1;-10000;520
15552;0;-10000;520
15558;-1;-10000;520
15564;-2;-10000;433
15570;-2;-10000;433
15576;-3;-10000;433
15582;-3;-10000;433
15588;-3;-10000;520
15594;-4;-10000;520
15600;-5;-10000;520
15606;-5;-10000;433
15612;-6;-10000;433
15618;-6;-10000;433
15624;-7;-10000;433
15630;-7;-10000;445
15636;-7;-10000;445
15642;-8;-10000;445
15648;-9;-10000;445
15654;-9;-10000;358
