T0000000058 A+00001 V+00000 d00000 
 T0000166938 A+00000 V+29728 d35808 
 T0000168419 A-00001 V-01481 d01481 
 T0000170660 A-00002 V-02241 d02241 
 T0000171777 A-00003 V-01117 d01117 
 T0000173002 A-00004 V-01225 d01225 
 T0000173716 A-00005 V-00714 d00714 
 T0000175017 A-00006 V-01301 d01301 
 T0000175733 A-00007 V-00716 d00716 
 T0000176551 A-00008 V-00818 d00818 
 T0000176902 A-00009 V-00351 d00351 
 T0000177949 A-00010 V-01047 d01047 
 T0000178594 A-00011 V-00645 d00645 
 T0000179097 A-00012 V-00503 d00503 
 T0000180172 A-00014 V-00727 d00727 
 T0000181573 A-00017 V-00409 d00409 
 T0000183402 A-00020 V-00713 d00713 
 T0000185459 A-00024 V-00586 d00586 
 T0000187330 A-00028 V-00582 d00582 
 T0000189114 A-00032 V-00515 d00515 
 T0000190652 A-00036 V-00432 d00432 
 T0000192584 A-00041 V-00354 d00354 
 T0000194165 A-00045 V-00300 d00300 
 T0000196135 A-00050 V-00575 d00575 
 T0000197785 A-00055 V-00392 d00392 
 T0000199771 A-00061 V-00280 d00280 
 T0000201751 A-00066 V-00533 d00533 
 T0000203321 A-00071 V-00262 d00262 
 T0000205116 A-00076 V-00408 d00408 
 T0000206883 A-00081 V-00301 d00301 
 T0000208639 A-00085 V-00352 d00352 
 T0000210710 A-00089 V-00412 d00412 
 T0000212929 A-00092 V-00944 d00944 
 T0000214566 A-00094 V-01260 d01260 
 T0000216489 A-00096 V-01441 d01441 
 T0000219085 A-00098 V-01958 d01958 
 T0000220732 A-00100 V-01346 d01346 
 T0000222308 A-00102 V-01271 d01271 
 T0000223717 A-00104 V-01165 d01165 
 T0000225099 A-00106 V-01171 d01171 
 T0000226703 A-00109 V-00298 d00298 
T0000228735 A-00113 V-00319 d00319 
 T0000230448 A-00115 V-00697 d00697 
 T0000232320 A-00116 V-01872 d01872 
 T0000234497 A-00118 V-01564 d01564 
 T0000236127 A-00120 V-01161 d01161 
 T0000238636 A-00122 V-01868 d01868 
 T0000240381 A-00124 V-01277 d01277 
 T0000242484 A-00126 V-01654 d01654 
 T0000244524 A-00128 V-01681 d01681 
 T0000245255 A-00129 V-00731 d00731 
 T0000247556 A-00130 V-02301 d02301 
 T0000248536 A-00131 V-00980 d00980 
 T0000250608 A-00132 V-02072 d02072 
 T0000253388 A-00134 V-02074 d02074 
 T0000254535 A-00135 V-01147 d01147 
 T0000258244 A-00136 V-03709 d03709 
 T0000260728 A-00137 V-02484 d02484 
 T0000290375 A-00138 V-29647 d29647 
 T0000304839 A-00139 V-14464 d14464 
 T0000322623 A-00138 V+17784 d17784 
 T0000324984 A-00137 V+02361 d02361 
 T0000326611 A-00136 V+01627 d01627 
 T0000326892 A-00135 V+00281 d00281 
 T0000327391 A-00134 V+00499 d00499 
 T0000327560 A-00133 V+00169 d00169 
 T0000328007 A-00132 V+00447 d00447 
 T0000328095 A-00131 V+00088 d00088 
 T0000328399 A-00130 V+00304 d00304 
 T0000328495 A-00129 V+00096 d00096 
 T0000330353 A-00123 V+00185 d00185 
 T0000332139 A-00116 V+00368 d00368 
 T0000333841 A-00107 V+00090 d00090 
T0000335567 A-00096 V+00256 d00256 
T0000337344 A-00083 V+00088 d00088 
 T0000339177 A-00069 V+00117 d00117 
 T0000340848 A-00056 V+00251 d00251 
T0000342586 A-00043 V+00213 d00213 
T0000344337 A-00027 V+00238 d00238 
T0000346156 A-00013 V+00106 d00106 
 T0000347937 A+00005 V+00083 d00083 
 T0000349731 A+00022 V+00191 d00191 
 T0000351537 A+00038 V+00218 d00218 
 T0000353264 A+00052 V+00133 d00133 
T0000355052 A+00066 V+00232 d00232 
 T0000356854 A+00080 V+00139 d00139 
 T0000358604 A+00091 V+00148 d00148 
T0000360342 A+00101 V+00193 d00193 
T0000362133 A+00109 V+00220 d00220 
 T0000363958 A+00115 V+00280 d00280 
 T0000365765 A+00120 V+00439 d00439 
 T0000371167 A+00122 V-03932 d03932 
 T0000372003 A+00121 V-00836 d00836 
 T0000372880 A+00120 V-00877 d00877 
 T0000373190 A+00119 V-00310 d00310 
 T0000374844 A+00115 V-00244 d00244 
 T0000376719 A+00108 V-00370 d00370 
 T0000378441 A+00100 V-00352 d00352 
 T0000380356 A+00090 V-00195 d00195 
 T0000382027 A+00080 V-00249 d00249 
T0000383753 A+00067 V-00122 d00122 
T0000385670 A+00052 V-00246 d00246 
 T0000387409 A+00038 V-00143 d00143 
 T0000389089 A+00024 V-00212 d00212 
T0000390833 A+00008 V-00200 d00200 
