;t;e;i;d;set
0;0.0;300.0;-0.3;0.0;0
1;0.003;300.0;-0.5;0.0;0
2;0.006;300.0;-0.5;0.0;0
3;0.009000000000000001;299.0;-0.5;0.0;0
4;0.012;299.0;-0.5;0.0;0
5;0.015000000000000001;298.0;-0.5;0.0;0
6;0.018000000000000002;297.0;-0.5;0.0;0
7;0.021;296.0;-0.5;0.0;0
8;0.024;295.0;-0.5;0.0;0
9;0.027;294.0;-0.5;0.0;0
10;0.030000000000000002;292.0;-0.5;0.0;0
11;0.033;291.0;-0.5;-1.0;0
12;0.036000000000000004;289.0;-0.5;-1.0;0
13;0.039;287.0;-0.5;-1.0;0
14;0.042;285.0;-0.5;-1.0;0
15;0.045000000000000005;283.0;-0.5;-1.0;0
16;0.048;280.0;-0.5;-1.0;0
17;0.051000000000000004;278.0;-0.5;-1.0;0
18;0.054;275.0;-0.5;-1.0;0
19;0.057;272.0;-0.5;-1.0;0
20;0.060000000000000005;269.0;-0.5;-1.0;0
21;0.063;266.0;-0.5;-1.0;0
22;0.066;262.0;-0.5;-4.0;0
23;0.069;259.0;-0.5;-4.0;0
24;0.07200000000000001;255.0;-0.5;-4.0;0
25;0.075;251.0;-0.5;-4.0;0
26;0.078;247.0;-0.5;-4.0;0
27;0.081;242.0;-0.5;-4.0;0
28;0.084;238.0;-0.5;-4.0;0
29;0.08700000000000001;233.0;-0.5;-4.0;0
30;0.09000000000000001;228.0;-0.5;-4.0;0
31;0.093;223.0;-0.5;-4.0;0
32;0.096;217.0;-0.5;-4.0;0
33;0.099;212.0;-0.5;-5.0;0
34;0.10200000000000001;206.0;-0.5;-5.0;0
35;0.10500000000000001;200.0;-0.5;-5.0;0
36;0.108;194.0;-0.5;-5.0;0
37;0.111;187.0;-0.5;-5.0;0
38;0.114;181.0;-0.5;-5.0;0
39;0.117;174.0;-0.5;-5.0;0
40;0.12000000000000001;167.0;-0.5;-5.0;0
41;0.12300000000000001;160.0;-0.5;-5.0;0
42;0.126;152.0;-0.5;-5.0;0
43;0.129;145.0;-0.5;-5.0;0
44;0.132;137.0;-0.5;-8.0;0
45;0.135;129.0;-0.5;-8.0;0
46;0.138;121.0;-0.5;-8.0;0
47;0.14100000000000001;113.0;-0.5;-8.0;0
48;0.14400000000000002;104.0;-0.5;-8.0;0
49;0.14700000000000002;96.0;-0.5;-8.0;0
50;0.15;87.0;-0.5;-8.0;0
51;0.153;78.0;-0.5;-8.0;0
52;0.156;69.0;-0.5;-8.0;0
53;0.159;60.0;-0.5;-8.0;0
54;0.162;51.0;-0.5;-8.0;0
55;0.165;42.0;-0.5;-9.0;0
56;0.168;33.0;-0.5;-9.0;0
57;0.171;24.0;-0.5;-9.0;0
58;0.17400000000000002;14.0;-0.5;-9.0;0
59;0.17700000000000002;5.0;-0.5;-9.0;0
60;0.18000000000000002;-4.0;0.5;-9.0;0
61;0.183;-14.0;0.5;-9.0;0
62;0.186;-23.0;0.5;-9.0;0
63;0.189;-32.0;0.5;-9.0;0
64;0.192;-41.0;0.5;-9.0;0
65;0.195;-50.0;0.5;-9.0;0
66;0.198;-59.0;0.5;-9.0;0
67;0.201;-68.0;0.5;-9.0;0
68;0.20400000000000001;-77.0;0.5;-9.0;0
69;0.20700000000000002;-85.0;0.5;-9.0;0
70;0.21000000000000002;-94.0;0.5;-9.0;0
71;0.21300000000000002;-102.0;0.5;-9.0;0
72;0.216;-110.0;0.5;-9.0;0
73;0.219;-118.0;0.5;-9.0;0
74;0.222;-126.0;0.5;-9.0;0
75;0.225;-133.0;0.5;-9.0;0
76;0.228;-141.0;0.5;-9.0;0
77;0.231;-148.0;0.5;-7.0;0
78;0.234;-155.0;0.5;-7.0;0
79;0.23700000000000002;-162.0;0.5;-7.0;0
80;0.24000000000000002;-168.0;0.5;-7.0;0
81;0.24300000000000002;-175.0;0.5;-7.0;0
82;0.24600000000000002;-181.0;0.5;-7.0;0
83;0.249;-187.0;0.5;-7.0;0
84;0.252;-192.0;0.5;-7.0;0
85;0.255;-198.0;0.5;-7.0;0
86;0.258;-203.0;0.5;-7.0;0
87;0.261;-208.0;0.5;-7.0;0
88;0.264;-213.0;0.5;-5.0;0
89;0.267;-217.0;0.5;-5.0;0
90;0.27;-222.0;0.5;-5.0;0
91;0.273;-226.0;0.5;-5.0;0
92;0.276;-230.0;0.5;-5.0;0
93;0.279;-233.0;0.5;-5.0;0
94;0.28200000000000003;-237.0;0.5;-5.0;0
95;0.28500000000000003;-240.0;0.5;-5.0;0
96;0.28800000000000003;-243.0;0.5;-5.0;0
97;0.29100000000000004;-246.0;0.5;-5.0;0
98;0.29400000000000004;-249.0;0.5;-5.0;0
99;0.29700000000000004;-251.0;0.5;-2.0;0
100;0.3;-253.0;0.5;-2.0;0
101;0.303;-255.0;0.5;-2.0;0
102;0.306;-257.0;0.5;-2.0;0
103;0.309;-259.0;0.5;-2.0;0
104;0.312;-260.0;0.5;-2.0;0
105;0.315;-262.0;0.5;-2.0;0
106;0.318;-263.0;0.5;-2.0;0
107;0.321;-264.0;0.5;-2.0;0
108;0.324;-264.0;0.5;-2.0;0
