t;e;i;d;set
0.0;0;0.0;0.0;0
0.0;0;0.0;0.0;0
0.0;0.0;0.0;0.0;0
0.003;0.0;0.0;0.0;0
0.006;0.0;0.0;0.0;0
0.009000000000000001;0.0;0.0;0.0;0
0.012;0.0;0.0;0.0;0
0.015000000000000001;0.0;0.0;0.0;0
0.018000000000000002;0.0;0.0;0.0;0
0.021;0.0;0.0;0.0;0
0.024;0.0;0.0;0.0;0
0.027;0.0;0.0;0.0;0
0.030000000000000002;0.0;0.0;0.0;0
0.033;0.0;0.0;0.0;0
0.036000000000000004;0.0;0.0;0.0;0
0.039;0.0;0.0;0.0;0
0.042;0.0;0.0;0.0;0
0.045000000000000005;0.0;0.0;0.0;0
0.048;0.0;0.0;0.0;0
0.051000000000000004;0.0;0.0;0.0;0
0.054;0.0;0.0;0.0;0
0.057;0.0;0.0;0.0;0
0.060000000000000005;0.0;0.0;0.0;0
0.063;0.0;0.0;0.0;0
0.066;0.0;0.0;0.0;0
0.069;0.0;0.0;0.0;0
0.07200000000000001;0.0;0.0;0.0;0
0.075;0.0;0.0;0.0;0
0.078;0.0;0.0;0.0;0
0.081;0.0;0.0;0.0;0
0.084;0.0;0.0;0.0;0
0.08700000000000001;0.0;0.0;0.0;0
0.09000000000000001;2.0;0.006;0.0;0
0.093;2.0;0.012;0.0;0
0.096;2.0;0.018000000000000002;0.0;0
0.099;2.0;0.024;0.0;0
0.10200000000000001;2.0;0.03;0.0;0
0.10500000000000001;2.0;0.036;0.0;0
0.108;2.0;0.041999999999999996;0.0;0
0.111;2.0;0.047999999999999994;0.0;0
0.114;2.0;0.05399999999999999;0.0;0
0.117;2.0;0.05999999999999999;0.0;0
0.12000000000000001;2.0;0.06599999999999999;0.0;0
0.12300000000000001;2.0;0.072;0.0;0
0.126;2.0;0.078;0.0;0
0.129;2.0;0.084;0.0;0
0.132;2.0;0.09000000000000001;0.0;0
0.135;2.0;0.09600000000000002;0.0;0
0.138;2.0;0.10200000000000002;0.0;0
0.14100000000000001;2.0;0.10800000000000003;0.0;0
0.14400000000000002;3.0;0.11700000000000002;0.0;0
0.14700000000000002;3.0;0.12600000000000003;0.0;0
0.15;3.0;0.13500000000000004;0.0;0
0.153;3.0;0.14400000000000004;0.0;0
0.156;3.0;0.15300000000000005;0.0;0
0.159;3.0;0.16200000000000006;0.0;0
0.162;3.0;0.17100000000000007;0.0;0
0.165;3.0;0.18000000000000008;0.0;0
0.168;3.0;0.18900000000000008;0.0;0
0.171;3.0;0.1980000000000001;0.0;0
0.17400000000000002;4.0;0.2100000000000001;0.0;0
0.17700000000000002;4.0;0.22200000000000011;0.0;0
0.18000000000000002;4.0;0.23400000000000012;0.0;0
0.183;4.0;0.24600000000000014;0.0;0
0.186;4.0;0.2580000000000001;0.0;0
0.189;4.0;0.27000000000000013;0.0;0
0.192;4.0;0.28200000000000014;0.0;0
0.195;5.0;0.29700000000000015;0.0;0
0.198;5.0;0.31200000000000017;0.0;0
0.201;5.0;0.3270000000000002;0.0;0
0.20400000000000001;5.0;0.3420000000000002;0.0;0
0.20700000000000002;5.0;0.3570000000000002;0.0;0
0.21000000000000002;6.0;0.3750000000000002;0.0;0
0.21300000000000002;6.0;0.39300000000000024;0.0;0
0.216;6.0;0.41100000000000025;0.0;0
0.219;6.0;0.42900000000000027;0.0;0
0.222;6.0;0.4470000000000003;0.0;0
0.225;7.0;0.4680000000000003;0.0;0
0.228;7.0;0.4890000000000003;0.0;0
0.231;7.0;0.5;0.0;0
0.234;8.0;0.5;0.0;0
0.23700000000000002;8.0;0.5;0.0;0
0.24000000000000002;8.0;0.5;0.0;0
0.24300000000000002;8.0;0.5;0.0;0
0.24600000000000002;9.0;0.5;0.0;0
0.249;9.0;0.5;0.0;0
0.252;9.0;0.5;0.0;0
0.255;10.0;0.5;0.0;0
0.258;10.0;0.5;0.0;0
0.261;11.0;0.5;0.0;0
0.264;11.0;0.5;0.0;0
0.267;11.0;0.5;0.0;0
0.27;12.0;0.5;0.0;0
0.273;12.0;0.5;0.0;0
0.276;13.0;0.5;0.0;0
0.279;13.0;0.5;0.0;0
0.28200000000000003;14.0;0.5;0.0;0
0.28500000000000003;14.0;0.5;0.0;0
0.28800000000000003;15.0;0.5;0.0;0
0.29100000000000004;16.0;0.5;0.0;0
0.29400000000000004;16.0;0.5;0.0;0
0.29700000000000004;17.0;0.5;1.0;0
0.3;18.0;0.5;1.0;0
0.303;18.0;0.5;1.0;0
0.306;19.0;0.5;1.0;0
0.309;20.0;0.5;1.0;0
0.312;21.0;0.5;1.0;0
0.315;21.0;0.5;1.0;0
0.318;22.0;0.5;1.0;0
0.321;23.0;0.5;1.0;0
0.324;24.0;0.5;1.0;0
0.327;25.0;0.5;1.0;0
0.33;26.0;0.5;1.0;0
0.333;27.0;0.5;1.0;0
0.336;28.0;0.5;1.0;0
0.339;29.0;0.5;1.0;0
0.342;31.0;0.5;1.0;0
0.34500000000000003;32.0;0.5;1.0;0
0.34800000000000003;33.0;0.5;1.0;0
0.35100000000000003;34.0;0.5;1.0;0
0.35400000000000004;36.0;0.5;1.0;0
0.35700000000000004;37.0;0.5;1.0;0
0.36000000000000004;39.0;0.5;1.0;0
0.36300000000000004;40.0;0.5;1.0;0
0.366;42.0;0.5;1.0;0
0.369;44.0;0.5;1.0;0
0.372;45.0;0.5;1.0;0
0.375;47.0;0.5;1.0;0
0.378;49.0;0.5;1.0;0
0.381;51.0;0.5;1.0;0
0.384;53.0;0.5;1.0;0
0.387;55.0;0.5;1.0;0
0.39;58.0;0.5;1.0;0
0.393;60.0;0.5;1.0;0
0.396;62.0;0.5;2.0;0
0.399;65.0;0.5;2.0;0
0.402;67.0;0.5;2.0;0
0.405;70.0;0.5;2.0;0
0.40800000000000003;73.0;0.5;2.0;0
0.41100000000000003;76.0;0.5;2.0;0
0.41400000000000003;79.0;0.5;2.0;0
0.41700000000000004;82.0;0.5;2.0;0
0.42000000000000004;85.0;0.5;2.0;0
0.42300000000000004;89.0;0.5;2.0;0
0.42600000000000005;92.0;0.5;2.0;0
0.42900000000000005;96.0;0.5;4.0;0
0.432;100.0;0.5;4.0;0
0.435;104.0;0.5;4.0;0
0.438;108.0;0.5;4.0;0
0.441;112.0;0.5;4.0;0
0.444;117.0;0.5;4.0;0
0.447;121.0;0.5;4.0;0
0.45;126.0;0.5;4.0;0
0.453;131.0;0.5;4.0;0
0.456;136.0;0.5;4.0;0
0.459;141.0;0.5;4.0;0
0.462;147.0;0.5;6.0;0
0.465;152.0;0.5;6.0;0
0.468;158.0;0.5;6.0;0
0.47100000000000003;164.0;0.5;6.0;0
0.47400000000000003;170.0;0.5;6.0;0
0.47700000000000004;177.0;0.5;6.0;0
0.48000000000000004;183.0;0.5;6.0;0
0.48300000000000004;190.0;0.5;6.0;0
0.48600000000000004;197.0;0.5;6.0;0
0.48900000000000005;205.0;0.5;6.0;0
0.49200000000000005;212.0;0.5;6.0;0
0.49500000000000005;220.0;0.5;8.0;0
0.498;227.0;0.5;8.0;0
0.501;235.0;0.5;8.0;0
0.504;244.0;0.5;8.0;0
0.507;252.0;0.5;8.0;0
0.51;261.0;0.5;8.0;0
0.513;269.0;0.5;8.0;0
0.516;278.0;0.5;8.0;0
0.519;287.0;0.5;8.0;0
0.522;297.0;0.5;8.0;0
0.525;306.0;0.5;8.0;0
0.528;316.0;0.5;10.0;0
0.531;325.0;0.5;10.0;0
0.534;335.0;0.5;10.0;0
0.537;345.0;0.5;10.0;0
0.54;355.0;0.5;10.0;0
0.543;365.0;0.5;10.0;0
0.546;375.0;0.5;10.0;0
0.549;385.0;0.5;10.0;0
0.552;395.0;0.5;10.0;0
0.555;-395.0;-0.5;10.0;0
0.558;-385.0;-0.5;10.0;0
0.561;-375.0;-0.5;10.0;0
0.5640000000000001;-365.0;-0.5;10.0;0
0.5670000000000001;-355.0;-0.5;10.0;0
0.5700000000000001;-346.0;-0.5;10.0;0
0.5730000000000001;-336.0;-0.5;10.0;0
0.5760000000000001;-327.0;-0.5;10.0;0
0.5790000000000001;-317.0;-0.5;10.0;0
0.5820000000000001;-308.0;-0.5;10.0;0
0.5850000000000001;-299.0;-0.5;10.0;0
0.5880000000000001;-290.0;-0.5;10.0;0
0.5910000000000001;-281.0;-0.5;10.0;0
0.5940000000000001;-272.0;-0.5;9.0;0
0.597;-264.0;-0.5;9.0;0
0.6;-256.0;-0.5;9.0;0
0.603;-248.0;-0.5;9.0;0
0.606;-240.0;-0.5;9.0;0
0.609;-233.0;-0.5;9.0;0
